,event_name,event_period
0,[11월 추천 방송 구독 이벤트],2020.11.10~2020.11.30
0,시어 퀴즈 이벤트,2020.11.06~2020.11.12
0,[살고 싶다는 농담]오디오북 리뷰 이벤트!,2020.10.30~2020.11.05
0,10월 추천 방송 구.독 이벤트,2020.10.10~2020.10.31
0,[들어본 이야기]오디오북 이벤트!,2020.10.23~2020.10.29
0,[초등 감정 사용법] 오디오북 리뷰 이벤트!,2020.10.16~2020.10.22
0,[나는 왠지 대박날 것만 같아]오디오북 이벤트,2020.10.09~2020.10.15
0,추석맞이 오디오북 이벤트~!,2020.09.30~2020.10.04
0,[9월] 추천 방송 구독 이벤트,2020.09.10~2020.09.30
0,[나의 월급 독립 프로젝트]리뷰 이벤트,2020.09.25~2020.09.29
0,세계문학 오디오북 리뷰 이벤트,2020.09.18~2020.09.24
0,열하일기 첫걸음 구독 이벤트!,2020.09.11~2020.09.17
0,[미스터리 오디오북 퀴즈 이벤트],2020.09.04~2020.09.10
0,[세계는 왜 싸우는가]구독 이벤트,2020.08.28~2020.09.03
0,[8월] 추천 방송 구독 이벤트,2020.08.10~2020.08.31
0,<제물> 오픈 기념 이벤트,2020.08.21~2020.08.27
0,데일 카네기 인간관계론 오디오북 이벤트!,2020.08.14~2020.08.20
0,「좀머 씨 이야기」오디오북 구독 이벤트 !,2020.08.07~2020.08.13
0,공시생(오디오 영화) 오픈 기념 이벤트,2020.07.23~2020.08.07
0,7월 추천 방송 구독하고 캐시받자!,2020.07.10~2020.07.31
0,오디오북 대여 최대 90% 할인!,2020.06.18~2020.07.31
0,검은방 시즌2 런칭 기념 할인 이벤트!,2020.07.10~2020.07.24
0,6월 추천 방송 구독 이벤트~!,2020.06.10~2020.06.30
0,크리에이터 육성/지원 프로젝트 시즌2 공모전 당선작을 소개합니다.,2020.05.18~2020.06.30
0,5월 추천방송 구독하기 이벤트,2020.05.10~2020.05.31
0,오디오북  <운명이다> 이벤트,2020.05.18~2020.05.24
0,크리에이터 육성지원 프로젝트 시즌2: 세상의 모든 글을 읽다,2020.03.30~2020.05.10
0,[ 조기종료]4월 추천방송 구독하기 이벤트,2020.04.10~2020.04.29
0,빠숑 부동산특강 시즌2 오픈 기념 캐시백 이벤트!,2020.03.23~2020.04.10
0,Alog 공모전 당선작을 발표합니다!,2020.03.20~2020.03.31
0,3월 추천 방송 구독하고 캐시받자!,2020.03.10~2020.03.31
0,"크리에이터 육성/지원 프로젝트 시즌 1: 들려주세요, 나의 하루",2020.02.10~2020.03.10
0,3.1절 특별 기획 '제국대학의 조센징' 오디오북 구독 이벤트,2020.03.01~2020.03.07
0,EBS 세계문학전집을 오디오북으로 만나보세요.,2020.02.19~2020.02.26
0,2월 추천 방송 구독하고 캐시 받자!,2020.02.11~2020.02.21
0,신종 코로나! 이것만  기억하세요,2020.02.07~2020.02.20
0,팟빵이 추천하는 방송 구독하고 캐시받자!,2020.02.01~2020.02.10
0,상대방의 속마음이 궁금하신가요?,2020.01.31~2020.02.06
0,노후 준비 잘 하고 계신가요?,2020.01.24~2020.01.30
0,"세상의 모든 엄마, 아빠들에게",2020.01.17~2020.01.23
0,1월 추천팟을 구독해주세요!,2020.01.11~2020.01.20
0,1월 1일마다 큰 결심하는 여러분에게 추천합니다!,2020.01.10~2020.01.16
0,<2019 팟빵어워드> 최종 결과를 발표합니다!,2020.01.01~2020.01.12
0,2020년에도! 구독하면 캐시 100% 증정!,2020.01.01~2020.01.10
0,팟빵 라이브 댓글 즐기고 캐시도 받자!,2019.12.30~2020.01.10
0,"팟빵 대표 지식전도사, 허진모 석사가 직접 추천합니다!",2020.01.03~2020.01.09
0,2019년 가장 많이 사랑받은 에피소드는?,2019.12.27~2020.01.02
0,1사라 듣기만해도 에어팟 프로가?,2019.12.24~2019.12.30
0,"팟빵 최고의 아웃풋! 정영진, 최욱이 추천합니다.",2019.12.20~2019.12.26
0,오직 팟빵에서만 만날 수 있는 방송!,2019.12.16~2019.12.25
0,청취자 여러분이 직접 뽑는 <2019 팟빵어워드>,2019.12.11~2019.12.25
0,"누군가에겐 선망의 대상, 하지만 현직자에게는..?",2019.12.13~2019.12.19
0,12월 추천팟 구독 이벤트,2019.12.04~2019.12.13
0,<요조>가 추천하는 팟빵 에피소드,2019.12.06~2019.12.12
0,오디오북 <어른이 되면 괜찮을줄 알았다>,2019.12.05~2019.12.11
0,김유열 PD가 직접 해설하는 <딜리트>,2019.11.27~2019.12.03
0,11월 추천팟 구독하기 이벤트,2019.11.11~2019.11.20
0,11월 오리지널 ES구독하기 이벤트,2019.11.01~2019.11.10
