,Unnamed: 0,nickname,created,review,length
98,98,외로운 예언자_581086,2020.11.18,잘들었습니다,6
109,109,진고래,2020.10.25,그냥 좋아요,6
128,128,재능있는 음유시인_993213,2020.11.20,정말 좋아요,6
133,133,미미모모,2020.02.04,요조 잘한다,6
146,146,성공한 컨설턴트_1273907,2019.11.14,철학이해하기좋아요,9
157,157,낭독,2020.11.15,내용이 좋아요,7
231,231,풍뫼,2020.01.23,웃습네미혼만재밌네,9
242,242,건강한 아티스트_589040,2019.02.21,감사합니다,5
281,281,어르스펀데르시제앙무스훈,2019.12.08,생각보다 재밌음,8
392,392,특별한 꿈쟁이_574469,2019.09.01,완전좋아요,5
415,415,재미있는 꿈쟁이_859669,2020.08.26,집중잘돼요,5
418,418,코코쩰리,2020.08.21,목소리 좋아요,7
427,427,ㅇㅅㅇ11,2019.01.21,마지막시한구절최고,9
455,455,혜민,2019.08.16,목소리좋아요,6
479,479,제리,2019.10.15,영하작가님최고,7
569,569,밸런스,2020.04.23,왜이렇게재밌음?,8
577,577,유명한 꿈쟁이_333318,2020.03.25,#재밌어요,5
582,582,우주를줄걔,2020.03.03,살아있어줘서고마워,9
583,583,Fake Traveler,2020.03.01,다잘될겁니다,6
